fid,layout_code,working_code,resource_type,substance,chemical_id,material_batch_number,initial_volume,initial_weight,cur_volume,cur_weight,available_volume,available_weight,tray_QR_code,QR_code,unit,source_layout_code,with_magneton,usage_times,status,color,created_at,updated_at,with_cap,used
1,IPF1-1:-1,,PF100M5R1C_2,,,,0,0,0,0,0,0,,,,IPF1-1:-1,FALSE,0,0,,1769063050,1769674096,FALSE,FALSE
17,IPF1-1:0,,PF100M5R1C_2,Te,37,,0,20000,0,8394.4,0,10000,,,g,IPF1-1:0,FALSE,0,0,,1769064153,1769681399,FALSE,FALSE
2,IPF1-1:1,,PF100M5R1C_2,Se,45,,0,50000,0,38935.6,0,43752.2,,,g,IPF1-1:1,FALSE,0,0,,1769063050,1769682330,FALSE,FALSE
3,IPF1-1:2,,PF100M5R1C_2,Bi,43,,0,50000,0,44656.8,0,47699,,,g,IPF1-1:2,FALSE,0,0,,1769063050,1769675410,FALSE,FALSE
18,IPF1-1:4,,PF100M5R1C_2,Ge,41,,0,10000,0,7380.9,0,8130.1,,,g,IPF1-1:4,FALSE,0,0,,1769064177,1769678203,FALSE,FALSE
15,IPF2-1:-1,,PF30M5R1C_2,,,,0,0,0,0,0,0,,,,IPF2-1:-1,FALSE,0,0,,1769063112,1769063112,FALSE,FALSE
16,IPF2-1:2,,PF30M5R1C_2,Sb,44,,0,50000,0,45651.2,0,50000,,,g,IPF2-1:2,FALSE,0,0,,1769063112,1769677012,FALSE,FALSE
19,IT-1:-1,,CC10R10C,,,,0,0,0,0,0,0,,,,IT-1:-1,FALSE,0,0,,1769673627,1769673627,FALSE,FALSE
20,IT-1:3,,CC10R10C,,,,0,0,0,1372.5,0,0,,,,IT-1:3,FALSE,1,0,,1769673627,1769681643,FALSE,TRUE
21,IT-1:13,,CC10R10C,,,,0,0,0,1372.5,0,0,,,,IT-1:13,FALSE,1,0,,1769673627,1769681884,FALSE,TRUE
22,IT-1:23,,CC10R10C,,,,0,0,0,1083.2,0,0,,,,IT-1:23,FALSE,1,0,,1769673627,1769682090,FALSE,TRUE
23,IT-1:33,,CC10R10C,,,,0,0,0,1083.2,0,0,,,,IT-1:33,FALSE,1,0,,1769673627,1769682273,FALSE,TRUE
24,IT-1:43,,CC10R10C,,,,0,0,0,886.8,0,0,,,,IT-1:43,FALSE,1,0,,1769673627,1769678451,FALSE,TRUE
25,IT-1:53,,CC10R10C,,,,0,0,0,886.8,0,0,,,,IT-1:53,FALSE,1,0,,1769673627,1769678646,FALSE,TRUE
26,IT-1:63,,CC10R10C,,,,0,0,0,1241.1,0,0,,,,IT-1:63,FALSE,1,0,,1769673627,1769679466,FALSE,TRUE
27,IT-1:73,,CC10R10C,,,,0,0,0,1241.1,0,0,,,,IT-1:73,FALSE,1,0,,1769673627,1769681342,FALSE,TRUE
28,IT-1:83,,CC10R10C,,,,0,0,0,1130,0,0,,,,IT-1:83,FALSE,1,0,,1769673627,1769678835,FALSE,TRUE
29,IT-1:93,,CC10R10C,,,,0,0,0,1130,0,0,,,,IT-1:93,FALSE,1,0,,1769673627,1769679028,FALSE,TRUE
